Common_name,Species,location,date_first record,first record source
Hunk3,CM,Hermes ,9/21/2017,Ruud Van Den Berg-MM
Hunk6,CM,Hermes ,2/16/2018,Abdallah Taher - MM
Hunk8,CM,Hermes ,15-9-2017,Ruud Van Den Berg-MM
Hunk9,CM,"Hermes ,Marsa Shouna",12-09-2017,Ruud Van Den Berg-MM
HURRICANE,CM,MARSA SHOUNA,15-05-2022,JUSTIN ORMAND
Hurriya,CM,"Abu Dabbab, Egla, Asalaya",9/12/2016,Micol M
Ibrahim,CM,Abu Dabbab,9/26/2011,HEPCA catalogue 2012
ICHI,EI,ISLANDS,3/13/2024,Pico Das
IGOR,CM,Marsa Abu Dabbab,05-05-2019,Micol M
ILONA,EI,SHARM EL NAGA,5/11/2024,Renate Michel
ILONKA,CM,Shams Alam-Gorgonia,04-2018,Ilonka Ver - WAGI
IMEN,EI,Marsa Shagra,29-08-2011,HEPCA catalogue 2012
INDY,EI,TOBIA KEBIR,7/16/2022,Christian Facci
INEKE,CM,GAbel Rosas,25-09-2021,FRANNIE VAN HAALEN
IRIDE,CM,MARSA MUBARAK,1/8/2025,MICOL MONTAGNA
IRINA,CM,MAKADI BAY,16-09-2021,NICOLE LINDEGGER
ISABELLE,EI,PANORAMA REEF,2/15/2022,MIKE BASLER
ISLAM,CM,MARSA FUKERA,31-8-2011,Anne Conlan
IULIIA,CM,Islands - Dahab,15-04-2019,Adib Gendy
IVANA,CM,SHAMS SAFAGA,3/27/2024,IVANA ZIMOVA
JACK,CM,JACKFISH ALLEY,7/4/2024,JILLY HEALEY
JACKY,CM,BRAYKA BAY,7/27/2022,Radka Jelinkova
JACOPO,CM,Egla,02-12-2018,AbDAllah Taher - MM
JADE,CM,LAHAMI BAY,10/2/2022,Kerstin Schumann
Jam,CM,Abu Dabbab,7/19/2011,HEPCA catalogue 2012
JAMAL,EI,Elphinstone,6-5-2018,ABDAllah Taher - MM
JAMIE,EI,Fayrouz,16-05-2022,OLIVER HERT
Jan,CM,Abu Dabbab,3/1/2016,Mariska van der Paauw - MM
JANEK,CM,MARSA MUBARAK,12/11/2019,Mariska van der Paauw 
JANINA,EI,CORAYA BAY,10/3/2024,DOREen Hofmann
Janneke,EI,Jackson Reef,14-02-2018,Mark Weiler - ECOT BS
JASMINE,EI,Makadi Bay - Gota Abu Makadi,05-03-2019,Osman Gamal
JCKFUNK1,CM,Jackfish Alley,10-02-2017,Claire Arndt
JELLY,CM,Marsa Mubarak,26-03-2018,MM
JENNY,EI,CORAL SEA SENSATORI HR -GORDON REEF,3/26/2022,Paul Middlehurst
JERRY,CM,MAKADI BAY,9/26/2024,Michael Weiss
JESTER,CM,Lahami Bay,16-01-2019,Alessandro Ferlazzo Ciano
Jippeke,EI,Ras Ghozlani,12-02-2018,Mark Weiler - ECOT BS
JJ,EI,"Marsa Shagra, Blue Reef HR",01-09-2011,JOYCZ AERDTS
JOANNA,CM,Shams Alam,09-05-2018,Grzeszczuk Anna 
JOCKER,CM,Shams Alam,07-05-2018,Grzeszczuk Anna 
JODA UG,CM,MARSA SHONA,6/22/2025,Micol Montagna
JOHANNA,CM,MARSA MUBARAK,12/8/2021,Frannie Van Haalen
JOHN,CM,TABA HEIGHTS - BAYVIEW,7/27/2022,Katarzyna Kluczyńska
JOKE,EI,CORAYA BAY,24-06-2021,ERWIN KOOPS
JOPPIFLEX,CM,Wadi Lahami,20-04-2016,Miriam Tercon -MM
JORRIT,CM,Gorgonia HR,09-08-2016,Sylvia Van Bakel
JOSIE,CM,LAHAMI BAY,3/22/2024,Marion Schönian
JOTTA,EI,MARSA ASALAYA,2/4/2024,Mahmoud Adroob
JOYCE,EI,Gabel Rosas,11-10-2018,Frannie Van Haalen van Remmerden
JUGGERNAUT,CM,Lahami Bay,18-12-2018,Alessandro Ferlazzo Ciano
JULIA,EI,Fayrouz,22-11-2011,Benny Van Laere - EXTRA DIVERS
JULIETTE,CM,Marsa Mubarak,08-03-2012,Benny Van Laere - EXTRA DIVERS
JUNA,CM,LAHAMI BAY,17/11/2024,JULIA NAKONZER
JÜRGEN,EI,SHARM EL NAGA,3/11/2024,Renate Michel
KAJA,CM,MARSA ABU DABBAB,8/20/2022,aBDAllah Taher - MM
KALAYA,CM,Marsa Abu Dabbab,28-11-2020,AbDAllah Taher - MM
KAMAR,CM,Marsa Murein,21-08-2018,Camille Gros - MM
Karen,CM,Abu Dabbab,1/18/2012,D Lisbjerg
KARIM,CM,Abu Dabbab,7/1/2017,Abdallah Taher - MM
KARIMAN,CM,Abu Dabbab,3/7/2017,Abdallah Taher - MM
KARIN,CM,Marsa Mubarak,10-03-2012,Benny Van Laere - EXTRA DIVERS
KARLA,CM,Fayrouz,31-05-2016,Ivana Zimova - FB
KARMA,CC,RAS TROMBI,7/7/2023,JANA SAMEC
KASSIOPEIA,EI,SHARM EL NAGA,6/27/2025,Benjamin Gundacke
KATE,CM,Gabel Rosas,02-06-2012,HEPCA catalogue 2012
KATHARINA,CM,"SHARM SHOUNA, ABU SAILE",7/10/2024,Georg Schmidt
KATJA,CM,MARSA MUBARAK,11/1/2023,BEAT RIMANN
KATRIN,CM,Rocky Island,23-06-2018,KATRIN ESTER - HAMATA MANGROVES
KAWI,CM,Makadi Bay,02-11-2018,Carlo Cogliati - IDIVE
KeBi,CM,Shams Alam,05-2018,Birgit Eichenseher - WAGI
KELLY,EI,Thomas Reef,05-05-2018,Daniel Stokes - FB
KERSTIN,CM,SHAMS ALAM,31/10/2022,KARIM ELGOGARY
KESSI,CM,MARSA ABU DABBAB,6/8/2011,Katarzyna Kluczynska
Kevin,EI,Shark and Yolanda,04-03-2018,Kevin Khoo - ECOT BS
KHALEDINO,CM,MARSA FUKERA,6/10/2022,NUBI
KIARA,CM,GORGONIA HOUSE REEF,3/27/2025,Mareike Krupa Hoeren
Kiki,CM,Abu Dabbab,7/24/2011,HEPCA catalogue 2012
KIKO,EI,TOBIA KEBIR,8/4/2023,Amandine Chanvrier
KIMBERLY,EI,SHAAB ABU DABBAB 4,17/11/2021,Sandra Stoffels
KLOPS,CM,TONDOBA,9/6/2020,Micol MONTAGNA
KNICK,CM,Wadi Lahami,15-01-2019,Alessandro Ferlazzo Ciano
KOEN C,EI,"Gorgonia HR, sHAMS Alam, Marsa Fukera",04-11-2018,KOEN CRABBE - TGIM
KORSIKE,CM,ABU SAILE,7/10/2024,DOREen Hofmann
KRILYA,CM,MARSA MUBARAK,5/17/2024,Marleen Icke
KROHA,EI,SHAB SHARM,16/11/2022,LYONYA EYDIS
KUKUNA,CM,MARSA SHAGRA,9/9/2023,Eva Kamp
KURT,CM,MARSA ASALAYA,5/19/2025,Doreen Hofmann
Ladislav,CM,Abu Dabbab,10/27/2011,HEPCA catalogue 2012
LAHM2 EI,EI,Lahami Bay,15-9-2016,Miriam Tercon -MM
LAHM3 EI,EI,Lahami Bay,25-03-2016,Miriam Tercon -MM
LAHMUNK2,CM,Lahami Bay,17-06-2017,Vittoria Cipriani - MM
LAHMUNK3,CM,Lahami Bay,30-01-2018,Vittoria Cipriani - MM
LANEA,CM,Marsa Abu Dabbab,29-11-2020,AbDAllah Taher - MM
LARA,EI,Ras Mohamed,17-05-2018,Daniel Stokes - FB
LASAGNA,CM,SHAMS ALAM,1/26/2024,CRISTIANO Orci
LAURA,CM,Marsa Shona,05-05-2018,Cristophe Colliard - FB
LAURA SILVIA,CM,SHAMS ALAM,1/21/2024,Cristiano Orci
Layali ,CM,"Hermes, Abu Dabbab",29-10-2012,KoenCrabbe
LAYLA,CM,NAAMA BAY,6/16/2025,Anita Stoppini
LéAYAH,CM,SHAMS ALAM,4/28/2023,Chabha Ladjici
Leila,CM,Abu Dabbab,4/8/2011,HEPCA catalogue 2012
Lemmy,CM,Marsa Fukera,01-11-2013,Koen CRABBE - TGIM
LENE,CM,MARSA ABU DABBAB,7/4/2022,MICOL MONTAGNA
LENORA,CM,LAHAMI BAY,5/25/2023,Sara Sabatino
LEONARDO,EI,"Hermes, Abu Dabbab",27-11-2018,Stefan Spro
LESLEY,CM,Marsa Nakari,27-06-2015,Lesley Hufnagel - RSDS
LEVI,CM,Lahami Bay,02-06-2016,Miriam Tercon -MM
LIANE,CM,Shams Alam,18-07-2019,Sabina M. Horn - WAGI DC
LIBOR,CM,BLUE-DREAM-EMERALD LAGOON HR,4/26/2025,Tadeáš Černohous
LILITCHI,EI,TOBIA SORAYAH,11/3/2024,Christian Facci
LILLI,CM,Coraya Bay,16-07-2016,Sabina M. Horn
Lin,CM,Abu Dabbab,2/27/2017,Abdallah Taher - MM
LINA,CM,ELPHINSTONE RESORT HOUSE REEF,4/4/2023,MAJA ZAMENCKA
LINO,CM,SOMA BAY,1/29/2024,Sarah Abdelhamid
LIO,CM,MARSA MUBARAK,15/10/2024,Volker Wollert
LIRO,EI,SHAMS ALAM,6/1/2022,KARIM ELGOGARY
Lisa,CM,"Abu Dabbab, Hermes",9/8/2017,Micol M
LISA REEF,EI,FOUR SEASONS HOUSE REEF,8/9/2024,FABIO BAVIERA
LISANDREA,CM,MARSA SHOUNA,9/7/2022,Nina Eschner
LITTLE GEM,CM,Fayrouz,06-11-2020,BEAT RIMANN
LITTLE JOYCE,CM,GAbel Rosas,3-12-2021,FRANNIE VAN HAALEN
LIV,CM,LAHAMI BAY,7/17/2022,Julia Nakonzer
LIZ,CM,SHAMS ALAM,26-05-2022,AXEL FENSKE
LIZZIE,EI,UMM GAMAR,10-08-2021,Shelley Palmer
LOCO,CM,Marsa Mubarak,21-05-2013,HEPCA catalogue 2012
LOLLO ,CM,TONDOBA,5/29/2019,SIMONETTA ZANDIRI - DEAS
LOLO,EI,ABU KEFAN,10/11/2024,Christian Facci
LORELLA,EI,TONDOBA,4-2-2022,ANNA FASANI E MARCO CANGIOLU
LOTTA,EI,The Quays - Ras Mohamed,12-04-2019,Charlotte Rose - OCCO
LOUISA,CM,TONDOBA,1/27/2023,MAJA ZAMENCKA
LOVE,CM,SOMA BAY,19/11/2024,Sarah Abdelhamid
LUCA,EI,MARSA SHOUNA,9/24/2023,Silvia Bodei
LUCKY,CM,TONdoba,29-6-2021,SIMONETTA ZANDIRI - DEAS
LUCY,CM,Shams Alam,29-05-2018,Wolfgang Gumpoldsberger - WAGI
LUGY,CM,Marsa Shona,11-01-2019,AbDAllah Taher - MM
LUISE,CM,Pharaoh Azur Hurghada HR,25-09-2018,Andrea Springhetti
LUNA,EI,Hermes ,16-01-2019,AbDAllah Taher - MM
LYCHEE,EI,RAS UMM SID - SHARM ,5/19/2025,Michael Schmidt
MAAS EI 1,EI,Asalaya,25-07-2017,Mara Cavola - MM
MABYD1,EI,Al Mashrabiya Hotel HR,15-09-2018,PAULA MARIE KRAUS - SWDF
MACHI,CC,SHARK BAY/TIRAN,7/15/2023,Stefano Machi
Maddalina,CM,Abu Dabbab,7/19/2011,HEPCA catalogue 2012
MADIBA,EI,Gota Abu Ramada,23-05-2017,Haibert Rodebusch- ILIO
MADIDA,CM,TONdoba,29-12-2020,MICOL M
MADY,CM,TONdoba,29-12-2020,MICOL M
MAESTRO OOGWAY,CM,Lahami Bay,15-03-2019,Alessandro Ferlazzo Ciano
MAEVA,EI,MIDDLE REEF WEST,7/18/2022,Christian Facci
MAGY,CM,TONDOBA,12/14/2022,SIMONETTA ZANDIRI
MAHIR,CM,MARSA MUBARAK,9/8/2010,Nina Eschner
MAJA,CM,EL KHORAFI,9/15/2022,RADKA VYTLACILOVA
MAKKA,CM,HAPPY LIFE HOUSEREEF,5/31/2025,Angelika Wehrmann
MAKKY,CM,MARSA SHOUNA,11/2/2023,Vladimira Krejci
MAKS1 EI,EI,Sha'ab Maksur,22-02-2013,Maura Bettosini
MALEA,CM,HERMES,5-2-2020,AbDAllah Taher - MM
MALLOW,EI,Safaga,01-2018,Nathalie Poquelin - FB
MALU,CM,TORFA,3/16/2023,MAJA ZAMENCKA
MANA,EI,Marsa Nakari,24-08-2017,Lesley Hufnagel - RSDS
MANA1,CM,LighTHOUSE,24-6-2005,Chris von Mach
MANFRED,CM,SHAMS ALAM,18-09-2021,Cecile Dönhöfer
MANGO,CM,Marsa Abu Dabbab,31-07-2019,Rico Mols
MANILA,CM,SEFEIN,9/28/2024,Kimberly Esteban Exposito
MANJA,EI,EL KHORAFI,6/14/2024,DOREen Hofmann
MANON,EI,MIDDLE REEF EAST,7/6/2023,Christian Facci
MANU,CM,SHAMS ALAM,6/14/2025,Laura Tagliaferro
MANUELA,EI,Ben El Gebel,10-2019,NICOLE LINDEGGER
Mara,CM,Asalaya,9/20/2017,Micol M
MARCUS,CM,Hermes ,12/5/2017,Micol M
Margherita,CM,Abu Dabbab,2/9/2016,Micol M
MARGRET,EI,CARLESS REEF,05-2019,NICOLE LINDEGGER
MARGRIT,CM,Shams Alam,09-05-2018,Grzeszczuk Anna 
MARIA,CM,Gabel Rosas - Brayka Bay,30-05-2015,Frannie Van Haalen van Remmerden
MARIAM,EI,Utopia HR,10/25/2022,Mohamed Yousef
MARIAROSA,CM,TONdoba,29-12-2020,MICOL M
MARIDA,CM,LAHAMI BAY,12/8/2023,Dagimar Hauptmann
MARIE,EI,Jackson Reef,06-04-2019,Darren England
MARIE-KRISTIN,EI,EL KHORAFI,9/9/2024,DOREen Hofmann
MARIKA,CM,MARSA ABU DABBAB,6/19/2022,Mariska van der Paauw - MM
MARINA,CM,WADI LAHMI AZUR HR,14-10-2021,FEDERICO BOTTA
MARIT,EI,MARSA MUBARAK,3/21/2024,MARISKA van der Paauw - MM
MARLEIGH,EI,CANYON,15/12/2020,Jeanette Cortez
MARLEN,CM,MAKADI BAY,10/9/2022,Christoph Arens
MARLENE,CM,Hermes ,30-06-2018,ABDAllah Taher - MM
MARLOU,CM,Marsa Mubarak,13-10-2018,Mariska van der Paauw - MM
MARSHMALLOW,CM,Marsa Shouna,17/11/2023,Micol MONTAGNA
Marti,CM,Abu Dabbab,6/4/2016,Micol M
MARTIN,CM,MARSA MUBARAK,23/6/2021,Mariska van der Paauw
Martina,CM,Abu Dabbab,3/25/2011,HEPCA catalogue 2012
MARTINKA,CM,BLUE-DREAM-EMERALD LAGOON HR,6/28/2022,ClaudiaBoraso
MARY,CM,TONDOBA,1/20/2024,MAJA ZAMENCKA
MASA,CM,Shams Alam,20-10-2018,Marcus Borowski
MASSI,CM,LAGOON VIEW,7/29/2023,Stefania di Lelio
MATILDA,CM,Naama Bay,2019,NICOLE WINGARTZ - SUBEX SHARM
MATL,CM,SHAMS ALAM,6/6/2023,Claudia Filby
MATTIRICO,CM,TORFA,6/28/2022,MICOL MONTAGNA
MAUD,CM,Egla,06-07-2018,Mariska van der Paauw - MM
MAULI,EI,MARSA SAMADAI,6/30/2023,mICOL MONTAGNA
MAX,EI,Malahi,25-06-2018,KATRIN ESTER - HAMATA MANGROVES
MAXI,CM,MARSA MUBARAK,25-06-2021,ERWIN KOOPS
Maxim,CM,Abu Dabbab,3/6/2017,Tomas Piik - MM
MAXIMILIAN,CM,HAMRA,1/12/2024,Irina Bott
MAYFLOWER,EI,CARLESS REEF,9/29/2022,LYONYA EYDIS
MEGO,CM,SHAMS ALAM,30-11-2021,AHMED MAGDY
MEHAN,EI,ABU SAWATIR,5/8/2024,Rahul Mehan
MEREL,EI,Utopia HR,14/6/2022,Kerstin Queck
MERIMAAT,CM,TONDOBA,14/12/2022,MICOL MONTAGNA
METAXA,EI,Coraya Bay,05-08-2017,Ludwig Wieninger
MICHEL,CM,MARSA ASALAYA,12-12-2020,MICOL M
MICOL,CM,Gabel Rosas,31-05-2018,MM
MIKE,CM,MAKADI BAY,9/26/2024,Michael Weiss
MILAN,CM,LAHAMI BAY,22-09-2021,Daniela Adelfinger
MILE,CM,Lahami Bay,05-03-2019,Alessandro Ferlazzo Ciano
MILKA,CM,TONDOBA,10/12/2019,simonetta Zandiri
MILLIE,CM,Shark and Yolanda,15-12-2009,Bryn Davies - OCCO
MIMI,EI,MARSA SHONA,6/1/2016,Nina Eschner
MIMINO ,CM,TONDOBA,4/5/2023,MAJA ZAMENCKA
MINGEMING,EI,RAS GHOZLANI,10/5/2024,Inger Mari Jenssen
MINION,EI,El Malag,04-11-2018,UNDERWATER AMIRA - MINIONS 
MIREVA,CM,ABU SAILE,9/25/2024,DOREen Hofmann
MIRIAM,CM,Marsa Abu Dabbab,22-12-2018,Thomas Kolbeck
MISA,CM,SHAMS ALAM,6/20/2022,WALTER NEGRO
MISS SOPHIE,CM,MAKADI,04-05-2022,Sarah Franz
MMCHEN,CM,LAHAMI BAY,3/1/2023,Maria Luisa Trinci
MNGVUNK1,CM,Mangrove Bay,03-08-2017,Claire Arndt
MO,CM,BANNERFISH BAY,6/30/2024,Mohamed A. Osman
MOANA,CM,TONDOBA BAY,2/10/2023,Micol Montagna
MOLLY,CM,MARSA MUBARAK,4/13/2025,Marion Schönian
MOMO,EI,Abu Dabbab,08-06-2011,KATARZYNA KLUCZYńSKA
MOMOO,CM,SHAMS ALAM,8/4/2021,Momoo El Gohary & Sahra El Gohary
MONČA,CM,BLUE-DREAM-EMERALD LAGOON HR,7/29/2023,Stefania Di Lelio
MONET,CM,HERMES,5-2-2020,AbDAllah Taher - MM
MONI,CM,GORGONIA HOUSE REEF,9/8/2024,Jacqueline Geh
Monica,CM,Abu Dabbab,11/22/2015,Petra Wahl - MM
MONIKA,CM,Marsa Shouna,13/10/2023,Angelika Bayreder
MOONLIGHT,CM,Shams Alam-Gorgonia,29-05-2018,Wolfgang Gumpoldsberger - WAGI
MOOS,CM,SHARM EL TOROMBI,10/26/2022,Nina Eschner
MORDY,EI,Jackson Reef,06-06-2018,Michael Watrin
MORFEO,CM,Ben El Gebel,21-05-2018,Haibert Rodebusch- ILIO
MORGANA,CM,TONDOBA,12/3/2024,MICOL MONTAGNA
MORLA,EI,MAKADI BAY,10/2018,Rainer Blumenstein
Mr Kermit,CM,Pharaoh Azur Hurghada HR,05-12-2018,Andrea Springhetti
MRS. GOODMAN,CM,CORAYA BAY,7/24/2022,LUDWIG WIENINGER
MUB5,CM,Mubarak,13-04-2018,Micol M
MUB6,CM,Mubarak,13-04-2018,Micol M
MUB7,CM,Mubarak,13-04-2018,Micol M
Mustafa,CM,Abu Dabbab,2/22/2006,HEPCA catalogue 2012
NAAMA,CM,Naama Bay,12-04-2019,‎Mohamed Abd el Rasek - ECOT
NABILA,CM,MARSA SHOUNA,5/29/2024,Nina Eschner
NADIA,CM,Hermes,03-08-2019,Micol M
NADINE,CM,Gorgonia HR,02-11-2015,KoenCrabbe
NADIS,EI,Utopia HR,01-09-2018,Markus Michel
NAGY,EI,CORAL GARDEN HOUSE REEF SAFAGA,5/14/2024,Renee Dankers
NAK,EI,Marsa Nakari,20-08-2016,Lesley Hufnagel - RSDS
NAKARI1 EI,EI,Marsa Nakari,23-08-2016,Lesley Hufnagel - RSDS
NAMI,CM,TONDOBA,12/14/2022,MAJA ZAMENCKA
NATALI,EI,Shab Sabrina,04-30-2019,Osman Gamal
NATHALIE,CM,TONdoba,29-12-2020,MICOL M
NEDAL,CM,MARSA SHOUNA,7/28/2020,Nina Eschner
Negm,CM,"Abu Dabbab, Hermes",7/19/2011,HEPCA catalogue 2012
NENET,EI,Ras El Torfa,06-2017,Lisa Edwards
NEOMA,CM,NAama Bay,20/10/2024,Renate Zimmermann and Michael Barnbeck
NEREO,CM,TONDOBA,14/12/2022,MATTIA BONINO
NESTA,CM,MAKADI BAY,28-10-2021,NICOLE LINDEGGER
NESTE,CM,HERMES,29/10/2024,Steven Peeters
NICA,CM,MARSA SHAGRA,17/11/2023,University of Sussex
NICO,CM,Marsa Shoona,10-4-2019,Nina Eschner
NICOLE,EI,MAKADI HOUSE REEF,31-07-2020,NICOLE LINDEGGER
NIELA,CM,Shams Alam,02-09-2019,MichaelMesserklinger
NIKI,CM,LighTHOUSE,13-8-2004,MARTINA BALZAROVA
NIKO,CM,Hermes ,25-10-2017,Ruud Van Den Berg-MM
NINA COLADA,EI,LAHAMI BAY,7/18/2023,Marion Schönian
NINJA,CM,Wadi Lahami,19-12-2018,Alessandro Ferlazzo Ciano
NIOF1,EI,NIOF,6/4/2024,MICOL MONTAGNA
NIOF2,EI,NIOF,6/4/2024,MICOL MONTAGNA
Nitrox,CM,Mangrove Bay - Marsa Shona,3-8-2017,Claire Arndt
NORMAN,CM,Hermes ,21-08-2018,ABDAllah Taher - MM
NOUBY,CM,TONdoba,29-12-2020,MICOL M
NOUR,CM,MARSA ABU DABBAB,16-7-2011,HEPCA TEAM
NUBINO,CM,MARSA ABU DABBAB,8/26/2023,Silvia Bodei
NULVINO,EI,SHA'AB SAMADAI,14-09-2021,Silvia Bodei
Number 8,CM,"Abu Dabbab, Marsa Shouna",9/2/2010,HEPCA catalogue 2012
OCEAN,EI,CORAYA BAY,24/10/2024,abdaLLAh Taher - MM
ODI,CM,FANTAZIA HOUSE REEF,15-09-2019,MARTINA BERTONI
OLAF,CM,MARSA MUBARAK,18/12/2024,Ivana Zimova
OLLIE,EI,Coraya Bay,29-09-2018,Mariska van der Paauw - MM
OMAR,CM,Hermes ,13-11-2018,MM-AT
OMARONE,EI,RAS MOHAMED - SINA CAMP,5/1/2024,Gianluigi Minuto
ONDRA,CM,MARSA MUBARAK,13/12/2024,IVANA ZIMOVA
ONU,EI,NAama Bay,15/10/2024,Remo Weishaupt
ONYX,EI,Middle Reef,24/10/2023,Amandine Chanvrier
OPERA,CM,SHAMS ALAM,1/7/2024,Kerstin Schumann
ORIGAMI,CM,MANGROVE BAY,5/3/2025,Elisa Puccini
ORION,EI,mIDDLE REEF,11/1/2023,AMANdine Chanvrier
ORLANDO,CM,TONDOBA,8/9/2021,Anna Fasani
ORNELLA,CM,TONdoba,19-3-2018,MICOL MONTAGNA
ORSI,CM,Sha'ab Samadai,1-6-2021,Ahmed fOUAD - RED SEA PROJECT
OSEI,CM,MARSA SHOUNA,12/10/2022,Nina Eschner
OSMAN,EI,Gota Abu Ramada,01-03-2019,Osman Gamal
OSVALDO,EI,Shag Rock,16-03-2012,Maura Bettosini
OTTO,EI,Marsa Nakari,22-08-2016,Lesley Hufnagel - RSDS
PALEMONE,CM,TONDOBA,14/12/2022,SIMONETTA ZANDIRI
Paolo,CM,Abu Dabbab,6/4/2016,Micol M
PATTY,CM,Marsa Mubarak,10-11-2012,Benny Van Laere - EXTRA DIVERS
PAVOXINA,EI,Shams Alam,05-2018,Mara Pavone - WAGI
PEACHY,EI,Abu Ramada Cave,07-10-2019,Shelley Palmer
PEARL,CM,Hermes ,13-06-2018,Benny Van Laere - EXTRA DIVERS
PEBBLE,CM,MAKADI BAY,10/2/2024,Lisa Riesterer
PEETA,CM,Marsa Mubarak,26-11-2009,Benny Van Laere - EXTRA DIVERS
PENNY,EI,Fayrouz,04-07-2019,Hosam Mohamed Abdelmetaal
PEPE,CM,EL KHORAFI,12/10/2022,TONY VAN BÜÜREN
PEPIJN,CM,Gorgonia HR,13-08-2016,Sylvia Van Bakel
PERLA,CM,MARSA SHOONA,3/4/2020,Nina Eschner
PER-OLAF,EI,Abu Hashish,03-12-2018,PernilleKofoedPedersen - JAMA
PETER,CM,GAbel Rosas,6-7-2012,Petr Peterka
Petra,CM,Abu Dabbab,10/1/2016,Micol M
PHANTOM,CM,Marsa Abu Dabbab,01-10-2019,Micol M
PHEALYN,CM,"Abu Dabbab, Hermes",9/9/2016,Micol M
Phoebe,EI,Islands - Dahab,02-11-2018,John Hauxwell - H2O DAHAB
PHRYNE,EI,EL QUADIM BAY,1/11/2003,ANDREAS KOLBERG
PHYLIS,CM,Abu Sayl,24-07-2018,NickyMarchbank
PIANO,CM,Makadi Bay,01-03-2019,Ahmed Kasr - PIANO DIVING CLUB
PICASSO,CM,MARSA ABU DABBAB,6-4-2021,MICOL M
PIEROGI,CM,TORFA,3/16/2023,MAJA ZAMENCKA
PIET,CM,HERMES,10/27/2019,Micol MONTAGNA
Platon,CM,Abu Dabbab,5/14/2017,Petra Wahl - MM
POLENTA,CM,MARSA SHOUNA,20/10/2023,Doreen Hofmann
POLIFEMO,CM,GORGONIA HOUSE REEF,31-08-2019,MIRIAM Tercon -MM
POLIFRI,CM,SHAMS ALAM,6/24/2023,Davide Poli
PRAHA,CM,Shams Alam,23-05-2019,Martin Kašpar
PRINCESS,CM,Shams Alam,01-10-2016,Marianne Tischler
PRINCESS LEIA,EI,Shark Yolanda,07-01-2019,Eirik Coppa Thommessen-ECOT
PRUSA,EI,GOLDEN BLOCKS,18-8-2007,MARTINA BALZAROVA
PUCCI,CM,SHAMS ALAM,7/24/2022,MIRIAM TERCON
PUCK,EI,MARSA BAREIKA,7/20/2024,Hanneke Van Liere
PUPA,CM,Shams Alam,14-07-2019,Davide Carbone
PUPPE,CM,Lahami Bay,12-07-2018,SABINA M. HORN - Sahra El Gohary - Mohamed El Gohary
QUINN,EI,Abu Dabbour,04-12-2018,Ruud Van Den Berg-MM
QUINTY,CM,GOLDEN BLOCKS,2/10/2019,Ahmed Fouad Nada
RAADI,EI,UMM GAMAR,7/5/2023,Jelinkova Radka
RAFAEL,EI,LITTLE BROTHER ISLAND,10/3/2022,RICKY MENON
RAFFAELLA,EI,Dahara,22-04-2019,Davide Carbone
RAFFAELLO,CM,MANGROVE BAY,3/26/2024,NADja Dobler
RAFI,CM,MAKADI BAY,9/30/2024,Lisa Riesterer
Rainbow,CM,Marsa Shagra,10-02-2012,HEPCA catalogue 2012
RAMI,EI,MAKADI,9/17/2020,NICOLE LINDEGGER
RANIA,EI,SATAYAH SOUTH,6/2/2024,Nina Eschner
RASIN,CM,MARSA SHOUNA,8/3/2022,Nina Eschner
Ray,CM,Marsa Shagra - Marsa Abu Dabbab,07-02-2012,HEPCA catalogue 2012
REBECCA,CM,TONDOBA,27/1/2023,MAJA ZAMENCKA
REINA,CM,MARSA MUBARAK,2/19/2025,Volker Wollert
RENé,CM,GAbel Rosas,29-09-2021,FRANNIE VAN HAALEN
RENZO,CM,TONDOBA,27/10/2024,abdaLLAh Taher - MM
RHENAYO,CM,MAKADI BAY,9/29/2021,NICOLE LINDEGGER
RHIAN,EI,SHAB SABINA,9/26/2022,Shelley Palmer
RICO,EI,PANORAMA REEF,7/4/2023,Christian Facci
RIET,CM,EL MINA WRECK,5/17/2024,Renee Krabben
RILESIDE,EI,Chrisoula K,04-05-2018,BenSidebottom - EMPR
RITA,EI,DREAM LAGOON - BLUE LAGOON,19-10-2021,SILVIA BODEI
ROBERTA,CM,LAHAMI BAY,7/12/2024,abdaLLAh Taher - MM
ROBIN,CM,MARSA SHAGRA,5/19/2023,JUSTIN ORMAND
ROMANELLA,EI,Gota Eschta,24-09-2019,Mara Pavone
RONJA,CM,MARSA EGLA,24-11-2020,MICOL M
ROPE,CM,Marsa Mubarak,20-03-2013,HEPCA catalogue 2012
ROSAS,CM,Gabel Rosas,01-06-2015,Frannie Van Haalen van Remmerden
ROSEMARY,CM,Shams Alam,19-4-2021,MICOL M
ROSI,EI,Gamila,23-05-2018,Christian Obst - CORAYA DIVERS
ROSIE,CM,ABU SAILE,11/8/2023,Doreen Hofmann
ROSS,EI,Marsa Nakari,22-08-2017,Lesley Hufnagel - RSDS
RUDI,CM,Hermes ,29-10-2018,AbDAllah Taher - MM
RUNE,CM,Fayrouz,16-06-2011,Benny Van Laere - EXTRA DIVERS
Ruud,CM,"Abu Dabbab, Hermes",6/29/2017,Abdallah Taher - MM
Saad,CM,Abu Dabbab,1/25/2012,HEPCA catalogue 2012
SABINA,CM,SHAMS ALAM,4/19/2021,MICOL MONTAGNA
SABRINA,EI,ABU HASHISH,5/28/2024,Nicole LiNDEGGER
SADI,CM,SENTIDO,7/12/2024,NicoleHorak
SAEIDA,EI,MARSA WALEED,20/11/2008,ANDREAS KOLBERG
