Common_name,Species,location,date_first record,first record source
ATTICA,CM,HERMES,8/6/2022,STEFANIE KRIEG
AURELIA,CM,MARSA MUBARAK,5/20/2022,Dorte Vilsgaard
Aussie,CM,Ras Baridi - Saudi Arabia,9/21/2016,Nicolas Pilcher -NCW
AVA,CM,SHAMS ALAM,7/31/2022,MICHAEL HEEG
AXEL,CM,ABU SAYL,4/7/2024,MARISKA van der Paauw - MM
AYA,CM,TONDOBA,1/11/2020,SILVIA BODEI
AZIZ,CM,Abu Dabbab,24-07-2011,HEPCA catalogue 2012
AZURO,EI,Daedalus Reef-Wadi Lahmi Azur,01-10-2011,Mariska van der Paauw - MM
BABA DANA,EI,SHAAB PINKY,2/18/2022,ALFONSO CAMPOS
BABE,EI,Marsa Shoony Bay,14-06-2018,Gerry van Koot-MM
BACRI,CM,ARTA BAY,12/2/2024,Emilio Mancuso
BAILEY,CM,SOMA BAY,9/19/2025,Sarah Abdelhamid
BAJU,CM,MARSA MUBARAK,8/1/2025,Doreen Hofmann
BANG,CM,Wadi Lahmi,28-12-2018,Alessandro Ferlazzo Ciano
BARABA,CM,MARSA SAMADAI,9/19/2021,SILVIA BODEI
BARBARA,CM,TONDOBA,27/10/2024,MICOL MONTAGNA
BARBIE,CM,Lahami Bay -Banana Reef,12-03-2019,Alessandro Ferlazzo Ciano
BARTOLOMEO,EI,LAHAMI BAY,4/21/2016,MIRIAM TERCON
BASIL,CM,SHAMS ALAM,11/5/2022,MICOL MONTAGNA
BEA,CM,HERMES,7/18/2022,"Miroslav Komatek, Thomas Rhode"
BEANS,CM,MARSA FUKERA,31-8-2011,Anne Conlan
BEANY,CM,MAKADI,29-09-2021,NICOLE LINDEGGER
Beau,CM,Abu Dabbab-Marsa Mubarak,4/4/2008,Michaela Sladkova - FB
Belin,CM,Abu Dabbab,11/13/2005,HEPCA catalogue 2012
BELLA,CM,TONdoba,29-12-2020,MICOL M
BELLE,CM,"MARSA ABU DABBAB, marsa egla",13-06-2021,ERWIN KOOPS
BENNY,EI,Tulip HR,11-2014,Benny Van Laere - EXTRA DIVERS
BERNHARD,CM,Marsa Shouna,11/8/2021,NIna Eschner
BETTY,CM,HERMES,11/3/2019,ABDALLAh Taher - MM
BETZI,CM,LAHAMI BAY,03/2023,DANIELA Adelfinger
BIBI,CM,Shams Alam,05-2018,Birgit Eichenseher - WAGI
BIBO,CM,HAMRA,9/12/2024,DOREen Hofmann
BIG JIM,EI,UMM GAMAR,25-7-2021,Shelley Palmer
BIGMAMA,CM,Shams Alam,21-05-2016,Wolfgang Gumpoldsberger - WAGI
BIGOS,CM,TONDOBA,3/14/2023,ARMIN HALICKI - MM
BISWA,CM,ABU GHOSUN,5/13/2024,Omar Al Amin
BLACKJACK,CM,Shams Alam,28-08-2016,Wolfgang Gumpoldsberger - WAGI
BLOCKY ,CM,Lahami Bay,24-02-2019,MARIA LUISA TRINCI - Miriam Tercon
BLU,CM,MARSA SHOUNA,18/5/2022,Nina Eschner
Blümchen,CM,Pharaoh Azur Hurghada HR,05-12-2018,Andrea Springhetti
BOLANDA,CM,"Shams Alam, Hermes",07-05-2018,Grzeszczuk Anna 
BOMA,EI,Abu Dabbab - Hermes ,01-05-2012,iVANA Zimova - FB
BONNY,CM,GORGONIA HOUSE REEF,9-5-2019,Petra Bingenfeld
BOOM,CM,Wadi Lahmi,28-12-2018,Alessandro Ferlazzo Ciano
